scenario_id,category,value,target_weight,note
pl_general_projected,age_group,18-24,0.1,"Projected/modelled target, not official census data."
pl_general_projected,age_group,25-34,0.18,"Projected/modelled target, not official census data."
pl_general_projected,age_group,35-44,0.2,"Projected/modelled target, not official census data."
pl_general_projected,age_group,45-54,0.19,"Projected/modelled target, not official census data."
pl_general_projected,age_group,55-64,0.17,"Projected/modelled target, not official census data."
pl_general_projected,age_group,65+,0.16,"Projected/modelled target, not official census data."
pl_general_projected,gender_group,female,0.51,"Projected/modelled target, not official census data."
pl_general_projected,gender_group,male,0.48,"Projected/modelled target, not official census data."
pl_general_projected,gender_group,non_binary_or_unspecified,0.01,"Projected/modelled target, not official census data."
pl_general_projected,urban_rural,large_city,0.3,"Projected/modelled target, not official census data."
pl_general_projected,urban_rural,medium_city,0.22,"Projected/modelled target, not official census data."
pl_general_projected,urban_rural,small_town,0.24,"Projected/modelled target, not official census data."
pl_general_projected,urban_rural,rural,0.24,"Projected/modelled target, not official census data."
pl_general_projected,education_level,primary_or_vocational,0.3,"Projected/modelled target, not official census data."
pl_general_projected,education_level,secondary,0.38,"Projected/modelled target, not official census data."
pl_general_projected,education_level,higher,0.32,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,practical_realists,0.2,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,relationship_focused,0.16,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,security_oriented,0.18,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,quiet_observers,0.12,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,achievement_oriented,0.12,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,identity_searchers,0.08,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,emotionally_curious,0.07,"Projected/modelled target, not official census data."
pl_general_projected,user_segment,skeptical_testers,0.07,"Projected/modelled target, not official census data."
pl_general_projected,language,pl,0.88,"Projected/modelled target, not official census data."
pl_general_projected,language,en,0.12,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,18-24,0.24,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,25-34,0.34,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,35-44,0.21,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,45-54,0.11,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,55-64,0.07,"Projected/modelled target, not official census data."
early_app_userbase_projected,age_group,65+,0.03,"Projected/modelled target, not official census data."
early_app_userbase_projected,gender_group,female,0.56,"Projected/modelled target, not official census data."
early_app_userbase_projected,gender_group,male,0.4,"Projected/modelled target, not official census data."
early_app_userbase_projected,gender_group,non_binary_or_unspecified,0.04,"Projected/modelled target, not official census data."
early_app_userbase_projected,urban_rural,large_city,0.48,"Projected/modelled target, not official census data."
early_app_userbase_projected,urban_rural,medium_city,0.25,"Projected/modelled target, not official census data."
early_app_userbase_projected,urban_rural,small_town,0.17,"Projected/modelled target, not official census data."
early_app_userbase_projected,urban_rural,rural,0.1,"Projected/modelled target, not official census data."
early_app_userbase_projected,education_level,primary_or_vocational,0.12,"Projected/modelled target, not official census data."
early_app_userbase_projected,education_level,secondary,0.35,"Projected/modelled target, not official census data."
early_app_userbase_projected,education_level,higher,0.53,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,self_discovery_seekers,0.22,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,emotionally_curious,0.18,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,identity_searchers,0.16,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,social_comparers,0.12,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,relationship_focused,0.12,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,achievement_oriented,0.09,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,privacy_guarded,0.06,"Projected/modelled target, not official census data."
early_app_userbase_projected,user_segment,skeptical_testers,0.05,"Projected/modelled target, not official census data."
early_app_userbase_projected,language,en,0.62,"Projected/modelled target, not official census data."
early_app_userbase_projected,language,pl,0.38,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,18-24,0.2,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,25-34,0.29,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,35-44,0.22,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,45-54,0.14,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,55-64,0.1,"Projected/modelled target, not official census data."
global_mixed_projected,age_group,65+,0.05,"Projected/modelled target, not official census data."
global_mixed_projected,gender_group,female,0.5,"Projected/modelled target, not official census data."
global_mixed_projected,gender_group,male,0.47,"Projected/modelled target, not official census data."
global_mixed_projected,gender_group,non_binary_or_unspecified,0.03,"Projected/modelled target, not official census data."
global_mixed_projected,urban_rural,large_city,0.44,"Projected/modelled target, not official census data."
global_mixed_projected,urban_rural,medium_city,0.25,"Projected/modelled target, not official census data."
global_mixed_projected,urban_rural,small_town,0.19,"Projected/modelled target, not official census data."
global_mixed_projected,urban_rural,rural,0.12,"Projected/modelled target, not official census data."
global_mixed_projected,education_level,primary_or_vocational,0.16,"Projected/modelled target, not official census data."
global_mixed_projected,education_level,secondary,0.39,"Projected/modelled target, not official census data."
global_mixed_projected,education_level,higher,0.45,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,self_discovery_seekers,0.16,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,skeptical_testers,0.12,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,emotionally_curious,0.14,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,social_comparers,0.12,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,privacy_guarded,0.1,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,achievement_oriented,0.14,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,relationship_focused,0.12,"Projected/modelled target, not official census data."
global_mixed_projected,user_segment,identity_searchers,0.1,"Projected/modelled target, not official census data."
global_mixed_projected,language,en,0.74,"Projected/modelled target, not official census data."
global_mixed_projected,language,pl,0.26,"Projected/modelled target, not official census data."
