content_id,theme,theme_description,curiosity_security,logic_emotion,independence_belonging,observation_action,present_future,spontaneity_control,pragmatism_idealism,stability_transformation,nature_technology,creator_builder,emotional_intensity,privacy_level,vulnerability_level,contradiction_probe,shadow_probe,mask_core_probe,relationship_relevance,option_A_strength,option_B_strength,option_C_strength,option_D_strength
semantic_v3_q0001,risk_discovery,Curiosity vs security under uncertainty,0.7952,0.1086,-0.0713,0.1239,0.3655,-0.3853,0.242,0.5459,-0.0549,-0.0501,0.213,0.14,0.19,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0002,emotional_exposure,Emotional openness and disclosure,-0.0422,1.0473,0.4141,-0.1341,-0.1285,0.1654,0.5052,0.0769,-0.1453,-0.1896,0.839,0.48,0.724,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0003,belonging_autonomy,"Belonging, independence, social alignment",0.024,0.24,0.7814,0.1028,-0.0868,0.2338,0.4101,-0.1444,0.1073,0.0192,0.27,0.349,0.295,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0004,act_or_observe,Action versus observation,0.1398,0.2295,-0.1312,0.6981,0.0621,-0.0474,0.0923,0.0709,0.0153,0.3764,0.336,0.05,0.244,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0005,future_orientation,Future planning and long-range identity,0.0966,0.0184,0.0031,0.1581,1.0972,0.4929,0.2674,0.3379,0.2573,0.1969,0.329,0.216,0.293,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0006,control_spontaneity,"Control, planning, certainty",-0.1407,0.0564,0.0968,0.0425,0.1217,0.7257,-0.0209,-0.1574,0.0226,0.1682,0.191,0.152,0.179,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0007,values_idealism,Pragmatism versus ideals,0.073,0.1937,-0.0396,0.029,0.0466,0.0115,0.7284,0.154,-0.3273,-0.077,0.356,0.385,0.365,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0008,change_stability,Transformation versus stability,0.3222,0.1155,-0.092,0.0616,0.3234,-0.3434,0.2825,0.8853,0.0288,0.0498,0.326,0.133,0.264,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0009,nature_technology,"Nature, technology and attention direction",0.0724,-0.069,-0.0085,0.0328,0.097,0.0451,-0.1589,-0.0615,0.8658,0.1807,0.244,0.474,0.318,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0010,creator_builder,Ideas versus execution,0.3738,-0.0759,-0.1339,0.2808,0.2683,0.373,0.019,-0.0353,0.1471,0.9497,0.199,0.067,0.157,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0011,taboo_private,Private self-disclosure,0.0942,0.7012,0.2168,-0.0686,0.0766,0.3212,0.5736,0.1006,-0.0058,0.0837,0.475,0.593,0.513,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0012,contradiction_probe,Conflict between declared and behavioral identity,0.1031,0.2768,-0.1426,0.177,0.19,0.2068,0.0537,0.2728,0.0631,0.0552,0.29,0.33,0.303,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0013,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.0759,0.7318,0.7422,0.0498,0.266,0.3382,0.4261,-0.1372,-0.2207,0.0803,0.787,0.779,0.784,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0014,solitude_social_energy,"Solitude, belonging and social recovery",-0.0398,0.1979,0.8863,-0.1904,0.0266,0.3704,0.093,-0.1832,-0.0754,-0.0898,0.255,0.152,0.222,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0015,execution_pressure,"Pressure, performance and follow-through",0.0955,-0.3633,-0.1482,0.6248,0.3336,0.3924,-0.1722,-0.1847,0.3312,0.5849,0.31,0.305,0.308,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0016,moral_choice,Ethical tension and ideal/practical tradeoff,-0.022,0.357,0.0727,-0.0439,0.1763,-0.0589,0.7349,0.2192,-0.0249,0.1041,0.336,0.121,0.267,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0017,attention_style,"Attention, novelty and depth",0.5835,-0.0291,-0.0052,-0.4403,0.2763,-0.1153,0.2278,0.4694,0.1584,-0.3018,0.122,0.05,0.099,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0018,comfort_zone,"Stability, safety and familiar patterns",-0.6494,0.0346,0.0613,-0.2002,-0.0878,0.42,-0.1758,-0.5601,-0.0933,0.2404,0.372,0.213,0.321,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0019,digital_nature_tension,Digital life versus natural grounding,0.1266,-0.0681,0.007,-0.1164,0.3041,0.1987,0.1147,0.2387,0.7253,0.1965,0.42,0.216,0.355,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0020,identity_mask,"Self-presentation, masking and private core",0.0801,0.3962,0.2487,-0.0702,0.2139,0.2248,0.4028,0.2085,-0.0164,-0.2118,0.617,0.672,0.635,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0021,risk_discovery,Curiosity vs security under uncertainty,0.9189,0.1406,-0.0122,0.1741,0.4033,-0.4409,-0.0063,0.809,-0.0881,0.1372,0.466,0.36,0.432,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0022,emotional_exposure,Emotional openness and disclosure,-0.0859,0.9634,0.3449,-0.3877,0.1037,0.0963,0.311,0.1414,-0.1999,-0.0701,0.899,0.965,0.92,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0023,belonging_autonomy,"Belonging, independence, social alignment",0.2706,0.2056,0.854,-0.0483,0.0367,0.1872,0.2648,-0.1806,0.0475,0.0014,0.265,0.655,0.39,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0024,act_or_observe,Action versus observation,0.1791,-0.1145,0.0542,1.0998,0.2226,-0.0828,-0.0138,-0.0076,0.0506,0.2998,0.443,0.113,0.337,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0025,future_orientation,Future planning and long-range identity,0.3177,-0.1341,-0.03,0.1954,1.1183,0.5018,0.2453,0.3835,0.151,0.2455,0.386,0.271,0.349,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0026,control_spontaneity,"Control, planning, certainty",0.1039,0.0374,0.2362,-0.0528,0.2594,0.8113,-0.0609,-0.3188,-0.2353,0.1446,0.257,0.275,0.263,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0027,values_idealism,Pragmatism versus ideals,0.028,-0.0047,0.155,0.0364,0.3487,0.0735,0.8569,0.0165,0.0292,-0.1126,0.384,0.524,0.429,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0028,change_stability,Transformation versus stability,0.2163,-0.0424,0.0866,0.0737,0.2691,-0.4391,0.1032,0.9685,0.249,0.0571,0.392,0.05,0.283,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0029,nature_technology,"Nature, technology and attention direction",0.0294,0.0378,0.0169,0.0753,0.1447,0.0253,-0.0612,0.032,0.9571,0.1149,0.431,0.367,0.411,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0030,creator_builder,Ideas versus execution,0.3508,-0.0009,0.0045,0.2744,0.3851,0.1651,0.04,0.1529,0.1942,0.9153,0.376,0.05,0.272,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0031,taboo_private,Private self-disclosure,0.2992,0.6319,0.1588,-0.2444,0.0724,0.0821,0.367,0.2296,-0.1677,-0.1623,0.636,0.817,0.694,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0032,contradiction_probe,Conflict between declared and behavioral identity,0.1485,0.3272,-0.0386,0.1313,0.1593,0.2631,0.1812,0.342,-0.0036,-0.0381,0.31,0.317,0.312,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0033,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.275,0.8354,0.7604,-0.1631,0.057,0.367,0.2179,-0.2693,-0.1631,-0.0355,0.576,0.6,0.584,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0034,solitude_social_energy,"Solitude, belonging and social recovery",0.0423,0.2051,0.5596,0.0966,-0.0075,0.1359,-0.0798,0.0992,-0.1475,0.0997,0.43,0.213,0.361,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0035,execution_pressure,"Pressure, performance and follow-through",-0.0939,-0.4338,-0.146,0.9495,0.2898,0.7906,-0.2645,0.0021,0.1636,0.8826,0.361,0.373,0.365,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0036,moral_choice,Ethical tension and ideal/practical tradeoff,0.1778,0.3521,0.1946,0.0439,0.1476,0.07,0.9822,-0.015,-0.237,0.2867,0.336,0.446,0.371,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0037,attention_style,"Attention, novelty and depth",0.791,-0.153,-0.0266,-0.4412,0.4761,-0.124,0.1866,0.4441,0.132,-0.3923,0.172,0.362,0.233,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0038,comfort_zone,"Stability, safety and familiar patterns",-0.6107,0.1172,0.358,-0.1236,-0.2285,0.6485,-0.1151,-0.6925,-0.2656,0.2264,0.382,0.455,0.405,1,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0039,digital_nature_tension,Digital life versus natural grounding,0.4038,-0.0369,-0.0235,-0.2617,0.1932,0.015,0.1867,0.2063,0.8698,-0.0075,0.182,0.252,0.204,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0040,identity_mask,"Self-presentation, masking and private core",0.1491,0.6661,0.3776,-0.1449,0.0403,0.1901,0.2438,0.2122,-0.1477,-0.1951,0.477,0.91,0.616,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0041,risk_discovery,Curiosity vs security under uncertainty,0.7066,0.0041,0.0907,0.4257,0.2515,-0.3645,0.2696,0.8034,-0.0028,-0.0619,0.294,0.26,0.283,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0042,emotional_exposure,Emotional openness and disclosure,0.0974,0.9613,0.3699,-0.1017,-0.1321,0.0567,0.3412,0.0194,-0.2367,-0.175,0.839,0.679,0.788,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0043,belonging_autonomy,"Belonging, independence, social alignment",-0.0147,0.1491,1.0631,0.0751,-0.0354,0.1613,0.1124,-0.0214,0.1359,0.0619,0.416,0.259,0.366,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0044,act_or_observe,Action versus observation,0.0338,-0.059,0.1601,1.0275,0.3341,-0.0568,-0.007,0.1964,-0.0578,0.1754,0.344,0.126,0.274,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0045,future_orientation,Future planning and long-range identity,0.2973,-0.0625,-0.0765,0.2585,0.6761,0.2764,0.3634,0.1601,0.4505,0.2188,0.295,0.311,0.3,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0046,control_spontaneity,"Control, planning, certainty",0.0458,0.0039,0.1555,0.0372,0.1295,1.0572,-0.1843,-0.6076,-0.073,0.0966,0.408,0.134,0.32,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0047,values_idealism,Pragmatism versus ideals,0.0538,0.0729,0.2169,0.0081,-0.0482,0.0848,1.0378,0.313,-0.3405,-0.0933,0.244,0.05,0.182,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0048,change_stability,Transformation versus stability,0.3329,-0.1632,-0.0758,0.1497,0.3443,-0.6791,0.2287,0.9391,-0.0533,-0.2032,0.355,0.496,0.4,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0049,nature_technology,"Nature, technology and attention direction",0.0782,-0.1448,0.0777,-0.0281,0.1597,-0.0435,-0.2086,-0.0049,1.2051,0.1504,0.419,0.293,0.379,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0050,creator_builder,Ideas versus execution,0.2168,0.1107,-0.0293,0.2916,0.276,0.2333,0.1071,0.1749,0.1274,1.0379,0.251,0.085,0.198,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0051,taboo_private,Private self-disclosure,0.2141,0.8337,0.2036,-0.1505,0.0072,0.1494,0.0735,0.1407,-0.1273,-0.0348,0.737,0.693,0.723,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0052,contradiction_probe,Conflict between declared and behavioral identity,0.1671,0.379,-0.098,0.0472,0.2332,0.2655,0.4478,0.4504,0.0512,0.1418,0.608,0.272,0.5,1,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0053,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.1046,0.7549,0.6009,-0.0546,0.0821,0.3425,0.1284,0.0456,-0.2404,-0.0254,0.656,0.68,0.664,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0054,solitude_social_energy,"Solitude, belonging and social recovery",0.1233,0.2607,0.6605,-0.11,0.2469,0.4181,-0.0265,-0.185,-0.0513,-0.0542,0.458,0.076,0.336,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0055,execution_pressure,"Pressure, performance and follow-through",-0.0359,-0.5522,-0.2105,0.7039,0.4157,0.4517,-0.189,0.0402,0.1411,0.9022,0.587,0.187,0.459,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0056,moral_choice,Ethical tension and ideal/practical tradeoff,0.0962,0.3004,0.0606,0.0049,0.231,0.091,0.8605,0.0277,0.0099,0.0599,0.479,0.273,0.413,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0057,attention_style,"Attention, novelty and depth",0.4938,-0.3522,-0.1521,-0.1806,0.3262,0.0398,0.0104,0.2809,0.259,0.0218,0.323,0.307,0.318,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0058,comfort_zone,"Stability, safety and familiar patterns",-0.4381,0.1843,0.2087,-0.2947,-0.2714,0.4443,0.2437,-0.7765,-0.2122,0.2587,0.231,0.213,0.225,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0059,digital_nature_tension,Digital life versus natural grounding,0.1574,0.0817,0.157,-0.1271,0.0713,0.1445,-0.0192,-0.0679,0.8865,-0.029,0.296,0.05,0.217,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0060,identity_mask,"Self-presentation, masking and private core",0.1811,0.4047,0.3997,0.1172,0.1851,0.1628,0.4883,0.1733,-0.1366,-0.1073,0.566,0.478,0.538,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0061,risk_discovery,Curiosity vs security under uncertainty,0.9048,0.0943,-0.1439,0.1238,0.4298,-0.4647,0.0938,0.7816,-0.0125,0.2804,0.228,0.293,0.249,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0062,emotional_exposure,Emotional openness and disclosure,0.0284,0.9542,0.173,-0.1338,0.003,0.1744,0.2816,0.1506,-0.3504,-0.017,0.728,0.778,0.744,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0063,belonging_autonomy,"Belonging, independence, social alignment",0.031,0.0943,0.6837,-0.0813,-0.0225,0.5466,0.0922,0.0133,0.0323,0.1033,0.159,0.465,0.257,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0064,act_or_observe,Action versus observation,0.0594,0.0836,-0.0647,1.1986,0.129,-0.2389,-0.0124,-0.0225,-0.0348,0.2335,0.394,0.321,0.371,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0065,future_orientation,Future planning and long-range identity,0.1212,-0.0561,-0.1765,0.1229,0.9496,0.3609,0.2173,0.2674,0.2602,0.2404,0.24,0.089,0.192,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0066,control_spontaneity,"Control, planning, certainty",0.0664,-0.221,0.0969,-0.0703,0.0564,1.1138,-0.1255,-0.3819,0.1358,0.2095,0.376,0.524,0.423,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0067,values_idealism,Pragmatism versus ideals,0.1317,0.1444,0.2799,-0.1303,0.0974,0.1194,0.7169,0.1466,-0.0429,-0.1241,0.214,0.499,0.305,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0068,change_stability,Transformation versus stability,0.2597,-0.0188,-0.0184,-0.0053,0.5034,-0.3431,0.1283,0.9227,0.1009,0.023,0.17,0.116,0.153,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0069,nature_technology,"Nature, technology and attention direction",0.2921,0.0594,-0.1076,0.1203,0.1949,0.0894,-0.0416,0.0954,0.8708,0.295,0.218,0.05,0.164,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0070,creator_builder,Ideas versus execution,0.4548,-0.0495,0.0388,0.067,0.2533,0.1717,0.0761,0.1757,0.0495,1.0172,0.446,0.527,0.472,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0071,taboo_private,Private self-disclosure,0.1006,0.8694,0.1542,-0.2098,0.0881,0.2551,0.4783,0.2749,-0.1165,0.039,0.783,0.587,0.72,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0072,contradiction_probe,Conflict between declared and behavioral identity,0.1143,0.3769,-0.2289,0.2103,0.3213,0.0443,0.4384,0.421,0.0172,0.1329,0.498,0.374,0.458,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0073,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.1314,0.6265,0.6052,0.0453,0.3287,0.3986,0.077,-0.1289,-0.053,-0.0198,0.524,0.787,0.608,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0074,solitude_social_energy,"Solitude, belonging and social recovery",-0.0019,0.2766,0.7891,-0.289,-0.0554,0.3066,0.1744,-0.1578,-0.0902,-0.1119,0.348,0.237,0.312,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0075,execution_pressure,"Pressure, performance and follow-through",-0.0243,-0.4394,-0.1697,0.7424,0.509,0.5187,-0.3396,-0.108,0.2095,0.8259,0.577,0.188,0.453,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0076,moral_choice,Ethical tension and ideal/practical tradeoff,0.0785,0.1605,0.174,0.1737,0.2779,0.0884,0.9818,0.1164,-0.1592,0.1716,0.461,0.359,0.428,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0077,attention_style,"Attention, novelty and depth",0.7883,-0.0566,-0.1949,-0.3995,0.497,-0.2979,0.1644,0.5164,0.1985,-0.4284,0.244,0.141,0.211,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0078,comfort_zone,"Stability, safety and familiar patterns",-0.564,-0.1064,0.1603,-0.1583,-0.2405,0.4738,-0.1769,-0.7121,0.2365,0.2563,0.167,0.409,0.244,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0079,digital_nature_tension,Digital life versus natural grounding,0.1869,-0.0673,-0.115,0.0505,0.1214,0.0969,-0.0151,-0.0229,1.1345,0.044,0.281,0.459,0.338,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0080,identity_mask,"Self-presentation, masking and private core",0.1061,0.5214,0.4181,0.2234,0.0067,0.1484,0.3102,0.175,-0.1138,-0.1581,0.512,0.625,0.548,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0081,risk_discovery,Curiosity vs security under uncertainty,0.9417,-0.1453,-0.0409,0.1978,0.4712,-0.5344,0.0586,0.5661,0.0699,0.1241,0.207,0.164,0.193,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0082,emotional_exposure,Emotional openness and disclosure,0.3146,0.8986,0.1929,-0.2023,0.0676,0.0951,0.3303,0.2135,-0.1201,0.0986,0.728,1,0.815,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0083,belonging_autonomy,"Belonging, independence, social alignment",0.089,0.2396,0.9167,-0.1112,-0.2173,0.0624,0.0905,-0.0517,-0.0624,-0.0576,0.308,0.179,0.267,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0084,act_or_observe,Action versus observation,-0.0198,-0.1089,0.0367,0.9349,0.1091,-0.0846,-0.1623,0.135,-0.0403,0.1613,0.387,0.079,0.288,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0085,future_orientation,Future planning and long-range identity,0.2302,0.0261,-0.0267,0.0541,0.9527,0.2908,0.1954,0.3974,0.3957,0.179,0.179,0.533,0.292,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0086,control_spontaneity,"Control, planning, certainty",-0.2259,-0.1639,0.155,-0.0472,0.12,1.1047,-0.0854,-0.3033,-0.1173,0.1695,0.273,0.297,0.281,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0087,values_idealism,Pragmatism versus ideals,0.2194,0.1258,0.0176,-0.0589,0.1473,-0.0718,0.7226,0.3123,-0.0471,-0.1063,0.271,0.302,0.281,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0088,change_stability,Transformation versus stability,0.2113,-0.0258,-0.0105,0.3106,0.3035,-0.2854,0.1303,0.7584,0.0574,-0.0212,0.237,0.161,0.213,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0089,nature_technology,"Nature, technology and attention direction",0.1634,0.0117,0.1455,-0.0812,0.1198,0.0257,-0.0404,0.0692,1.0254,0.1041,0.305,0.619,0.405,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0090,creator_builder,Ideas versus execution,0.1554,0.007,0.1819,0.1792,0.2543,0.5063,-0.0133,-0.0968,0.0022,0.924,0.275,0.162,0.239,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0091,taboo_private,Private self-disclosure,0.0993,0.6256,0.2411,-0.0941,-0.1064,0.2423,0.3329,0.1176,-0.1618,0.019,0.487,0.467,0.481,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0092,contradiction_probe,Conflict between declared and behavioral identity,0.1053,0.2445,-0.059,0.08,0.1317,0.0916,0.1514,0.2939,0.3095,-0.0752,0.298,0.118,0.24,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0093,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.0058,0.6849,0.6326,-0.0392,0.1585,0.397,0.2891,-0.2556,-0.1232,-0.0182,0.666,0.577,0.638,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0094,solitude_social_energy,"Solitude, belonging and social recovery",0.0492,0.461,0.7211,-0.348,-0.1137,0.1901,0.1181,0.0055,-0.1165,-0.1737,0.515,0.232,0.424,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0095,execution_pressure,"Pressure, performance and follow-through",-0.0967,0.0885,0.0655,0.6516,0.3267,0.5297,-0.2268,-0.1522,-0.018,0.6109,0.386,0.288,0.355,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0096,moral_choice,Ethical tension and ideal/practical tradeoff,0.0023,0.2903,0.2236,0.0449,0.1691,-0.0337,0.785,-0.0157,-0.0496,0.3593,0.445,0.428,0.44,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0097,attention_style,"Attention, novelty and depth",0.7368,-0.1387,-0.065,-0.4365,0.4531,-0.0572,0.2276,0.5121,0.3502,-0.2767,0.299,0.305,0.301,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0098,comfort_zone,"Stability, safety and familiar patterns",-0.4083,-0.057,0.2373,-0.0175,-0.2147,0.5676,-0.1543,-0.4762,-0.3753,0.1851,0.139,0.578,0.279,0,1,0,0,1.0,0.36,-0.36,-1.0
