content_id,theme,theme_description,curiosity_security,logic_emotion,independence_belonging,observation_action,present_future,spontaneity_control,pragmatism_idealism,stability_transformation,nature_technology,creator_builder,emotional_intensity,privacy_level,vulnerability_level,contradiction_probe,shadow_probe,mask_core_probe,relationship_relevance,option_A_strength,option_B_strength,option_C_strength,option_D_strength
semantic_v3_q0099,digital_nature_tension,Digital life versus natural grounding,0.2225,0.0335,0.0804,0.0373,0.0275,0.0226,0.0263,0.118,0.9757,0.097,0.373,0.404,0.383,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0100,identity_mask,"Self-presentation, masking and private core",0.1052,0.3563,0.4477,0.0257,0.0085,0.2544,0.4728,0.1231,-0.1619,-0.0053,0.498,1,0.659,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0101,risk_discovery,Curiosity vs security under uncertainty,1.1201,0.1409,0.0272,0.4163,0.5283,-0.3175,0.0921,0.5681,0.007,0.0233,0.235,0.05,0.176,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0102,emotional_exposure,Emotional openness and disclosure,-0.1112,0.5572,0.2456,-0.2006,-0.0442,0.0853,0.251,0.2445,0.1034,-0.1424,0.593,0.592,0.593,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0103,belonging_autonomy,"Belonging, independence, social alignment",0.071,0.1384,1.0378,-0.0463,-0.0413,0.2921,-0.0882,-0.0391,0.0037,0.1663,0.218,0.424,0.284,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0104,act_or_observe,Action versus observation,0.2572,-0.0012,0.1974,0.6733,0.0941,0.0335,0.0473,-0.0144,0.1166,0.6532,0.142,0.234,0.171,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0105,future_orientation,Future planning and long-range identity,0.1696,-0.0153,0.1661,0.1898,1.0095,0.3037,0.4021,0.2349,0.1714,0.08,0.227,0.32,0.257,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0106,control_spontaneity,"Control, planning, certainty",-0.1653,-0.1786,0.1278,-0.004,0.1009,1.0555,-0.1859,-0.4347,0.1867,0.1312,0.42,0.351,0.398,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0107,values_idealism,Pragmatism versus ideals,0.1168,0.2568,0.0242,-0.078,0.1542,0.0116,0.8669,0.1912,-0.3891,-0.2778,0.331,0.459,0.372,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0108,change_stability,Transformation versus stability,0.3355,-0.0346,-0.0806,-0.0156,0.0908,-0.3991,0.0672,1.086,0.1386,-0.0792,0.241,0.305,0.261,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0109,nature_technology,"Nature, technology and attention direction",0.1799,-0.047,0.1047,0.1662,0.437,0.1831,-0.0326,-0.0527,0.8013,0.153,0.208,0.372,0.26,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0110,creator_builder,Ideas versus execution,0.2956,0.1424,0.0619,0.2789,0.3789,0.3624,0.0146,0.1435,0.1663,0.8389,0.351,0.144,0.285,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0111,taboo_private,Private self-disclosure,0.1597,0.4672,0.1394,-0.0255,0.0722,0.1906,0.272,0.1624,-0.1083,0.1039,0.542,0.808,0.627,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0112,contradiction_probe,Conflict between declared and behavioral identity,0.1765,0.3761,-0.0906,0.0574,0.1443,0.0748,0.2706,0.2472,0.0694,0.0641,0.31,0.299,0.306,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0113,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.236,0.7103,0.7615,-0.1978,0.1646,0.4098,0.333,-0.0552,-0.0487,0.0174,0.565,1,0.704,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0114,solitude_social_energy,"Solitude, belonging and social recovery",0.2546,0.1973,0.6788,-0.2285,0.105,0.1506,0.0216,0.1069,0.0296,0.016,0.207,0.062,0.161,1,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0115,execution_pressure,"Pressure, performance and follow-through",0.0445,-0.3475,-0.3935,0.8626,0.5996,0.4289,-0.2419,0.0428,0.0775,0.9073,0.587,0.387,0.523,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0116,moral_choice,Ethical tension and ideal/practical tradeoff,0.1027,0.1974,0.2417,0.188,0.1744,0.0527,0.7878,0.152,-0.0079,0.027,0.288,0.051,0.212,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0117,attention_style,"Attention, novelty and depth",0.6985,0.0793,-0.1562,-0.511,0.3986,-0.1797,0.3096,0.3459,0.0743,-0.3649,0.162,0.464,0.259,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0118,comfort_zone,"Stability, safety and familiar patterns",-0.6768,0.1371,0.3732,-0.2341,-0.0401,0.6628,-0.0775,-0.7419,-0.2742,0.2529,0.363,0.405,0.376,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0119,digital_nature_tension,Digital life versus natural grounding,0.2189,-0.0108,-0.0265,-0.0037,0.215,-0.0064,0.0014,0.0845,1.0594,0.1136,0.277,0.05,0.204,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0120,identity_mask,"Self-presentation, masking and private core",-0.1276,0.0578,0.3726,-0.0694,-0.0087,0.4322,0.1455,-0.0953,-0.2549,0.0116,0.219,0.682,0.367,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0121,risk_discovery,Curiosity vs security under uncertainty,0.685,0.0083,0.0727,0.2819,0.35,-0.1743,0.411,0.5155,-0.0655,-0.0674,0.38,0.4,0.386,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0122,emotional_exposure,Emotional openness and disclosure,-0.0543,0.9052,0.285,-0.1247,0.0962,0.1664,0.6155,0.2141,-0.0906,-0.0347,0.907,0.505,0.778,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0123,belonging_autonomy,"Belonging, independence, social alignment",0.1284,0.1526,0.7781,-0.1089,0.0335,0.0884,0.0034,0.1148,-0.0809,-0.0193,0.187,0.245,0.206,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0124,act_or_observe,Action versus observation,0.0976,-0.0934,0.065,0.9671,0.1555,-0.17,-0.0569,0.0004,-0.0008,0.3484,0.226,0.236,0.229,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0125,future_orientation,Future planning and long-range identity,0.2345,0.0395,-0.0825,0.0851,1.1171,0.4553,0.2636,0.4081,0.3557,0.1271,0.395,0.05,0.285,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0126,control_spontaneity,"Control, planning, certainty",-0.1874,0.009,0.1026,0.1419,0.3372,0.7774,-0.0874,-0.1015,-0.0759,0.1572,0.39,0.104,0.298,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0127,values_idealism,Pragmatism versus ideals,0.1938,0.2127,-0.0339,0.0419,0.2655,-0.0671,0.9294,0.0047,-0.1934,0.1453,0.328,0.239,0.3,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0128,change_stability,Transformation versus stability,0.3006,0.0839,-0.0185,0.1125,0.1688,-0.4144,0.2021,1.0152,0.031,-0.0795,0.24,0.624,0.363,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0129,nature_technology,"Nature, technology and attention direction",0.1619,-0.1461,0.0402,-0.0332,0.0277,-0.0717,-0.0861,-0.0051,1.1966,0.3402,0.479,0.18,0.383,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0130,creator_builder,Ideas versus execution,0.3611,0.1032,0.1145,0.2024,0.3224,0.2319,0.1901,0.074,0.1416,1.0748,0.279,0.095,0.22,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0131,taboo_private,Private self-disclosure,0.2133,0.9663,0.3118,-0.2866,0.0043,0.1511,0.2591,0.254,-0.1543,-0.2227,0.64,0.651,0.644,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0132,contradiction_probe,Conflict between declared and behavioral identity,0.0714,0.2925,0.0668,0.009,0.0931,0.3699,0.136,0.0232,-0.1694,-0.0197,0.577,0.204,0.458,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0133,relationship_boundaries,"Trust, intimacy and personal boundaries",0.037,0.6157,0.5246,-0.0441,0.048,0.4269,0.0558,-0.1316,0.1867,0.0842,0.718,0.825,0.752,1,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0134,solitude_social_energy,"Solitude, belonging and social recovery",0.0679,0.3957,0.8112,-0.3456,-0.0867,-0.0246,0.1337,-0.15,-0.1159,-0.0979,0.547,0.32,0.474,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0135,execution_pressure,"Pressure, performance and follow-through",0.0358,-0.5829,-0.2168,0.8802,0.5159,0.6256,-0.2556,-0.0745,0.0861,0.8764,0.5,0.455,0.486,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0136,moral_choice,Ethical tension and ideal/practical tradeoff,0.1301,0.245,0.109,0.1614,0.5191,0.0734,0.8096,0.2074,-0.0073,0.1668,0.533,0.273,0.45,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0137,attention_style,"Attention, novelty and depth",0.8918,-0.2762,-0.0905,-0.4722,0.4462,-0.2508,0.3991,0.4154,0.1766,-0.3507,0.468,0.575,0.502,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0138,comfort_zone,"Stability, safety and familiar patterns",-0.5998,-0.0953,0.1695,0.0048,-0.238,0.5879,-0.1605,-0.6147,-0.0038,0.2857,0.296,0.263,0.285,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0139,digital_nature_tension,Digital life versus natural grounding,0.1439,-0.0706,-0.0281,-0.0415,0.0345,-0.0948,-0.085,0.165,0.9664,0.2027,0.337,0.479,0.382,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0140,identity_mask,"Self-presentation, masking and private core",0.1203,0.6099,0.3141,-0.0347,0.2431,0.2027,0.2809,0.3306,-0.0313,-0.1466,0.426,0.523,0.457,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0141,risk_discovery,Curiosity vs security under uncertainty,1.1224,-0.1062,0.0388,0.2478,0.3556,-0.5092,0.1911,0.6863,0.0781,-0.0277,0.317,0.05,0.232,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0142,emotional_exposure,Emotional openness and disclosure,-0.0582,0.9301,0.3162,-0.3831,0.0259,0.0188,0.4764,0.1027,-0.3225,0.0522,0.895,0.892,0.894,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0143,belonging_autonomy,"Belonging, independence, social alignment",0.0384,0.1502,0.8636,-0.1215,0.0655,0.2834,0.0765,-0.0226,-0.056,-0.0237,0.228,0.291,0.248,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0144,act_or_observe,Action versus observation,0.1756,0.1699,-0.0527,0.9772,0.2814,-0.0461,-0.0422,-0.0088,-0.0339,0.1923,0.511,0.285,0.439,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0145,future_orientation,Future planning and long-range identity,0.3328,0.0393,-0.0121,0.0847,0.7656,0.3104,0.2425,0.2181,0.1146,0.4089,0.238,0.23,0.235,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0146,control_spontaneity,"Control, planning, certainty",-0.1196,0.1159,-0.0116,0.0148,0.1435,1.0629,-0.1144,-0.4008,-0.0981,0.2448,0.464,0.223,0.387,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0147,values_idealism,Pragmatism versus ideals,0.13,0.3563,-0.0091,0.2229,0.1084,-0.0537,0.9291,0.1401,-0.2582,-0.1007,0.486,0.095,0.361,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0148,change_stability,Transformation versus stability,0.2367,-0.0491,-0.0291,0.075,0.1993,-0.3561,0.2757,0.9837,0.0036,-0.095,0.149,0.363,0.217,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0149,nature_technology,"Nature, technology and attention direction",0.1204,-0.1367,0.0897,0.0045,0.0185,0.0037,0.0402,-0.1714,1.0323,0.3008,0.286,0.327,0.299,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0150,creator_builder,Ideas versus execution,0.2736,-0.1854,-0.1171,0.0805,0.4079,0.1332,0.1486,0.1105,0.0973,1.0141,0.456,0.257,0.392,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0151,taboo_private,Private self-disclosure,0.299,0.6507,0.3094,-0.2333,0.1498,0.1489,0.3186,0.2916,-0.1338,-0.2304,0.623,0.73,0.657,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0152,contradiction_probe,Conflict between declared and behavioral identity,0.3352,0.3262,0.0966,0.0645,0.1567,0.2283,0.2221,0.3584,0.0627,-0.0065,0.291,0.189,0.258,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0153,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.097,0.6834,0.7732,0.0149,-0.0093,0.3153,0.3131,-0.0343,-0.1087,-0.0372,0.786,0.678,0.751,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0154,solitude_social_energy,"Solitude, belonging and social recovery",0.1192,0.2423,0.9497,-0.2112,-0.0512,0.3472,0.1098,-0.1442,0.1863,-0.2582,0.478,0.374,0.445,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0155,execution_pressure,"Pressure, performance and follow-through",0.0085,-0.3874,-0.1552,0.8989,0.4787,0.4732,-0.4075,-0.1298,0.2529,0.7524,0.338,0.381,0.352,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0156,moral_choice,Ethical tension and ideal/practical tradeoff,0.0909,0.2673,0.1523,-0.0298,0.233,0.2141,0.9712,0.1332,-0.1365,0.1178,0.563,0.333,0.489,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0157,attention_style,"Attention, novelty and depth",0.525,-0.1328,-0.0206,-0.5569,0.3334,-0.1991,0.1372,0.4497,0.2947,-0.2099,0.271,0.465,0.333,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0158,comfort_zone,"Stability, safety and familiar patterns",-0.6595,-0.1549,0.309,-0.1795,-0.365,0.7007,-0.1716,-0.7863,-0.3704,0.4334,0.228,0.18,0.213,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0159,digital_nature_tension,Digital life versus natural grounding,0.12,-0.1079,0.0038,-0.0028,0.2264,-0.0798,-0.1254,-0.0486,0.913,0.2208,0.204,0.489,0.295,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0160,identity_mask,"Self-presentation, masking and private core",-0.0679,0.3867,0.4727,0.0436,0.0103,0.0511,0.1787,0.18,-0.1354,-0.0741,0.457,0.758,0.553,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0161,risk_discovery,Curiosity vs security under uncertainty,0.9371,-0.124,-0.1989,0.463,0.2885,-0.5459,0.0927,0.5796,0.0056,-0.0831,0.259,0.334,0.283,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0162,emotional_exposure,Emotional openness and disclosure,0.0423,0.7121,0.1953,0.06,0.0441,0.2373,0.1825,-0.1208,-0.0364,0.2512,0.804,0.772,0.794,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0163,belonging_autonomy,"Belonging, independence, social alignment",0.2803,0.2199,0.7913,0.2822,0.0765,0.2002,0.1838,-0.1055,-0.1325,-0.0854,0.409,0.309,0.377,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0164,act_or_observe,Action versus observation,-0.024,-0.0433,-0.0113,1.0194,0.3167,-0.2456,0.1057,0.1324,0.1621,0.3897,0.285,0.316,0.295,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0165,future_orientation,Future planning and long-range identity,0.2235,0.0345,0.3224,0.0517,0.6291,0.2707,0.237,0.2508,0.1638,0.2137,0.316,0.291,0.308,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0166,control_spontaneity,"Control, planning, certainty",-0.1869,-0.1012,0.1958,0.0708,0.1424,1.1774,-0.2745,-0.4914,0.0264,0.3536,0.209,0.29,0.235,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0167,values_idealism,Pragmatism versus ideals,0.3119,0.3062,-0.0443,-0.0412,0.0902,0.1229,0.9323,0.1741,-0.1507,-0.1295,0.338,0.21,0.297,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0168,change_stability,Transformation versus stability,0.2642,0.1034,0.0852,0.0381,0.3534,-0.2654,0.2361,0.6707,0.0188,0.1834,0.166,0.324,0.217,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0169,nature_technology,"Nature, technology and attention direction",0.1529,0.0244,0.0242,0.0991,0.064,0.0391,-0.0794,0.0101,1.0435,0.3426,0.184,0.249,0.205,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0170,creator_builder,Ideas versus execution,0.3052,0.2164,0.0037,0.1172,0.3176,0.2365,0.2407,0.1951,0.0864,0.9504,0.45,0.486,0.462,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0171,taboo_private,Private self-disclosure,0.0649,0.7017,0.3893,-0.1974,-0.0165,0.2017,0.3148,0.278,-0.1124,-0.1556,0.676,0.866,0.737,1,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0172,contradiction_probe,Conflict between declared and behavioral identity,0.3921,0.2724,-0.1019,0.1928,0.0798,0.3516,0.356,0.2079,-0.1257,-0.0682,0.254,0.05,0.189,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0173,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.0279,0.705,0.8927,0.0305,0.1509,0.3789,0.1326,-0.2305,-0.1229,0.0965,0.724,0.673,0.708,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0174,solitude_social_energy,"Solitude, belonging and social recovery",0.1565,0.2226,0.8495,-0.4336,0.0225,0.2641,0.0846,-0.2897,-0.0862,-0.1021,0.355,0.612,0.437,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0175,execution_pressure,"Pressure, performance and follow-through",-0.1341,-0.206,-0.161,0.739,0.3273,0.4372,-0.2155,-0.019,0.0106,0.6489,0.408,0.443,0.419,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0176,moral_choice,Ethical tension and ideal/practical tradeoff,-0.0047,0.4053,0.2118,0.0577,0.2929,0.0676,0.9206,0.0511,-0.2125,0.2881,0.619,0.498,0.58,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0177,attention_style,"Attention, novelty and depth",0.7022,-0.1881,-0.1471,-0.5165,0.3039,-0.0949,0.0766,0.393,0.3224,-0.2262,0.23,0.186,0.216,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0178,comfort_zone,"Stability, safety and familiar patterns",-0.8236,0.0616,0.1085,-0.3578,-0.1878,0.8534,-0.2681,-0.8793,-0.1342,0.3049,0.14,0.148,0.143,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0179,digital_nature_tension,Digital life versus natural grounding,0.1629,-0.083,-0.0008,0.0076,0.0727,-0.0395,0.1245,-0.212,0.8554,0.087,0.464,0.317,0.417,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0180,identity_mask,"Self-presentation, masking and private core",0.1338,0.5421,0.3428,-0.1925,0.0875,0.236,0.194,0.1254,0.0994,0.013,0.611,0.613,0.612,1,1,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0181,risk_discovery,Curiosity vs security under uncertainty,0.9821,0.2114,0.116,0.2026,0.3945,-0.4912,0.2266,0.8784,-0.2124,0.09,0.256,0.47,0.324,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0182,emotional_exposure,Emotional openness and disclosure,0.019,1.0723,0.2392,-0.2004,-0.0173,0.1797,0.3288,0.1111,-0.274,-0.0949,0.703,1,0.798,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0183,belonging_autonomy,"Belonging, independence, social alignment",-0.1355,0.1526,0.8609,-0.1512,-0.0253,0.22,0.1424,-0.4155,-0.0543,-0.0163,0.37,0.282,0.342,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0184,act_or_observe,Action versus observation,0.0007,-0.1165,-0.1987,0.8126,0.2067,0.0171,-0.0004,-0.0889,0.1033,0.4668,0.229,0.295,0.25,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0185,future_orientation,Future planning and long-range identity,0.2545,-0.0292,-0.0157,-0.035,0.8112,0.191,0.2465,0.2785,0.3515,0.1519,0.389,0.257,0.347,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0186,control_spontaneity,"Control, planning, certainty",-0.1044,0.271,0.0223,0.1372,0.1883,0.8038,0.0574,-0.2413,0.0156,0.1245,0.247,0.456,0.314,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0187,values_idealism,Pragmatism versus ideals,0.0534,0.0386,-0.0622,0.03,0.0739,0.1265,1.0741,0.319,-0.1365,-0.1315,0.225,0.288,0.245,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0188,change_stability,Transformation versus stability,0.3224,-0.0037,-0.0236,0.2385,0.1068,-0.3621,0.3876,0.9824,0.2005,-0.0444,0.208,0.061,0.161,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0189,nature_technology,"Nature, technology and attention direction",0.0048,-0.12,0.1069,-0.0145,0.1445,0.1234,-0.1178,0.1748,0.9371,0.0158,0.243,0.362,0.281,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0190,creator_builder,Ideas versus execution,0.32,-0.0563,0.1718,0.0586,0.3183,0.386,0.0891,0.3099,0.1524,0.9608,0.318,0.362,0.332,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0191,taboo_private,Private self-disclosure,0.0471,0.5267,0.1939,-0.0823,0.013,0.1182,0.4255,-0.0161,-0.1411,-0.1825,0.53,0.702,0.585,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0192,contradiction_probe,Conflict between declared and behavioral identity,0.1046,0.4138,-0.1132,0.0281,0.2759,0.221,0.403,0.3683,0.0279,0.0617,0.402,0.541,0.446,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0193,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.0561,0.5616,0.5188,-0.0166,0.1643,0.2423,0.0969,-0.2579,-0.0945,0.2285,0.708,0.855,0.755,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0194,solitude_social_energy,"Solitude, belonging and social recovery",-0.0077,-0.0416,0.7119,-0.1125,-0.0646,0.2301,0.1252,-0.2322,-0.0965,-0.1196,0.18,0.399,0.25,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0195,execution_pressure,"Pressure, performance and follow-through",0.1212,-0.2528,-0.1401,0.8879,0.4896,0.4989,-0.5339,-0.0992,0.4056,1.0167,0.354,0.391,0.366,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0196,moral_choice,Ethical tension and ideal/practical tradeoff,0.132,0.1414,0.1066,0.0725,0.2786,0.0275,0.9803,0.083,-0.2695,0.1473,0.369,0.096,0.282,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0197,attention_style,"Attention, novelty and depth",0.4917,-0.153,-0.1048,-0.3654,0.3869,0.2248,0.0095,0.3718,0.201,-0.1094,0.482,0.428,0.465,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0198,comfort_zone,"Stability, safety and familiar patterns",-0.5464,-0.0446,0.256,-0.2022,-0.2656,0.6377,0.1511,-0.831,-0.3006,0.2083,0.395,0.201,0.333,0,1,0,0,1.0,0.36,-0.36,-1.0
