id;version;content_type;rarity_tier;rarity_score;category;darkness_level;intimacy_level;psychological_intensity;prompt_pl;answer_type;answer_options_pl;axis_target;axis_delta_json;hidden_signal;reward_after_answer_pl;verification_type;moderation_level;paywall_weight;notes;reward_type;reward_intensity;community_reveal_type;profile_reveal_type;unlock_type;next_hook_pl;community_stat_seed_json;reward_sequence_json;sample_reward_screen_pl;prompt_en;answer_options_en;next_hook_en;reward_en;profile_fragment_en;archetype_hint_en;card_path;theme_category
TO99-P001;premium;secret;rare;45;shadow;3;4;7;Którą część swojej osobowości pokazujesz tylko wtedy, gdy czujesz się bezpiecznie?;open;Kontrolę | Wrażliwość | Ambicję | Wątpliwości;emotion;{"emotion": 4, "connection": 2};shadow_layer;Warstwa cienia aktywna.;none;low;0.6;premium shadow;profile_fragment;medium;none;hidden;answer_count;Następne pytanie zbliży się do kolejnej warstwy.;{"primary_percent": 38, "secondary_percent": 29};;;Which part of your personality do you only show when you feel safe?;Control | Vulnerability | Ambition | Doubt;The next question moves toward another layer.;A hidden layer just opened.;You show a controlled face to the world, but there is more.;The Mirror;Shadow Question;identity
TO99-P002;premium;question;rare;52;control;2;3;6;Czy wolałbyś być niezrozumiany czy zależny?;binary;Niezrozumiany | Zależny;independence;{"independence": 5, "connection": -2};autonomy_signal;Sygnał autonomii zarejestrowany.;none;low;0.7;premium control gate;profile_fragment;medium;none;hidden;answer_count;System zapisał Twoją odpowiedź.;{"primary_percent": 54, "secondary_percent": 46};;;Would you rather be misunderstood or dependent?;Misunderstood | Dependent;The system recorded your preference.;Independence signal registered.;You protect autonomy even at the cost of being seen.;The Rebel;Control Gate;autonomy
TO99-P003;premium;question;epic;72;memory;3;5;8;Jakie jest ostatnie wspomnienie, które wciąż zmienia sposób, w jaki podejmujesz decyzje?;open;Utrata | Sukces | Zdrada | Odkrycie;emotion;{"emotion": 5, "security": 3};deep_memory;Głęboka warstwa pamięci otwarta.;none;medium;0.8;premium memory trace;profile_fragment;high;none;hidden;answer_count;Ślad pamięci zarejestrowany.;{"primary_percent": 31, "secondary_percent": 24};;;What is the last memory that still changes how you make decisions?;Loss | Success | Betrayal | Discovery;A memory trace was registered.;This memory is shaping your current pattern.;Your decisions carry the weight of a specific past event.;The Observer;Memory Trace;depth
TO99-P004;premium;question;epic;78;future;2;4;7;Którą wersję siebie najczęściej unikasz wyobrażać sobie?;open;Kogoś słabszego | Kogoś samotnego | Kogoś, który się poddał | Kogoś, kto poszedł na kompromis;security;{"security": -3, "change": 4};future_avoidance;Wzorzec unikania przyszłości zarejestrowany.;none;medium;0.8;premium future self;profile_fragment;high;none;hidden;answer_count;Widzenie przyszłości wymaga najpierw nazwania strachu.;{"primary_percent": 27, "secondary_percent": 22};;;Which version of yourself do you most avoid imagining?;Someone weaker | Someone alone | Someone who gave up | Someone who compromised;Naming the avoided future is the first step.;A future-avoidance pattern was registered.;You protect yourself by not looking at certain possible futures.;The Seeker;Future Self;depth
TO99-P005;premium;question;legendary;94;threshold;4;5;9;Czy istnieje prawda, którą nosisz w sobie prywatnie, a która — gdyby została wypowiedziana — zmieniłaby to, jak ktoś Cię widzi?;binary;Tak | Nie;emotion;{"emotion": 6, "independence": 3};private_truth;Prywatna prawda zarejestrowana.;none;high;0.9;premium threshold;profile_fragment;very_high;none;hidden;answer_count;Nienazwane prawdy kształtują profil mocniej niż wypowiedziane.;{"primary_percent": 62, "secondary_percent": 38};;;Is there a truth you hold privately that, if spoken, would change how someone sees you?;Yes | No;Unnamed truths shape the profile more than spoken ones.;A private truth signal was registered.;You carry something that remains unsaid for a reason.;The Rebel;Threshold Card;identity
TO99-P006;premium;game;standard;22;object;2;3;5;Wybierz przedmiot, który prowadziłby Cię przez nieznane terytorium.;choice;Kompas | Latarnia | Mapa;curiosity;{"curiosity": 3, "security": 1};navigation_style;Styl nawigacji zidentyfikowany.;none;low;0.4;premium object choice;community_reveal;low;none;hidden;answer_count;Wybór narzędzia ujawnia Twój stosunek do niepewności.;{"primary_percent": 44, "secondary_percent": 31};;;Choose the object that would guide you through an unknown territory.;Compass | Lantern | Map;The tool you choose reveals your relationship with uncertainty.;Navigation style identified.;Your choice of tool reflects how you handle the unknown.;The Explorer;Object Choice;exploration
TO99-P007;premium;riddle;rare;48;pattern;3;4;7;Co rośnie cięższym im dłużej pozostaje nienazwane?;choice;Żal | Cisza | Oczekiwanie;emotion;{"emotion": 4, "security": -2};unspoken_weight;Nienazwany ciężar zarejestrowany.;none;low;0.6;premium pattern break;profile_fragment;medium;none;hidden;answer_count;Nazwanie tego jest aktem.;{"primary_percent": 35, "secondary_percent": 28};;;What grows heavier the longer it stays unnamed?;Regret | Silence | Expectation;Naming it is itself an act.;An unspoken weight pattern was registered.;You recognized what accumulates when left in silence.;The Mirror;Pattern Break;depth
TO99-P008;premium;secret;epic;75;shadow;4;5;8;Czego chcesz, ale nie możesz sobie przyznać, że chcesz?;open;Uznania | Zemsty | Spokoju | Wpływu;independence;{"independence": 4, "emotion": 3};hidden_desire;Ukryte pragnienie zarejestrowane.;none;medium;0.8;premium shadow;profile_fragment;high;none;hidden;answer_count;To, czego nie można wypowiedzieć głośno, ma największą siłę.;{"primary_percent": 29, "secondary_percent": 23};;;What do you want but cannot admit to wanting?;Recognition | Revenge | Peace | Influence;What cannot be said aloud holds the most power.;A hidden desire pattern was registered.;Your unexpressed wants are shaping your choices.;The Alchemist;Shadow Question;shadow
TO99-P009;premium;question;rare;55;control;2;3;6;Kiedy ostatnio zrobiłeś coś, co cię zaskoczyło?;open;Tydzień temu | Miesiąc temu | Rok temu | Nie pamiętam;change;{"change": 4, "security": -2};self_surprise;Wzorzec zaskoczenia siebie zarejestrowany.;none;low;0.6;premium control gate;profile_fragment;medium;none;hidden;answer_count;Zdolność do zaskoczenia siebie mierzy elastyczność wzorca.;{"primary_percent": 41, "secondary_percent": 33};;;When was the last time you did something that surprised yourself?;Last week | Last month | A year ago | I don't remember;The ability to surprise yourself measures pattern flexibility.;Self-surprise pattern registered.;Your capacity for self-surprise reveals how fixed your pattern is.;The Catalyst;Control Gate;flexibility
TO99-P010;premium;question;standard;28;social;1;2;4;Kiedy czujesz się bardziej sobą — sam czy z innymi?;binary;Sam | Z innymi;independence;{"independence": 3, "connection": -1};social_self;Preferencja środowiska społecznego zarejestrowana.;none;low;0.3;premium social mirror;community_reveal;low;none;hidden;answer_count;Środowisko aktywujące autentyczność jest kluczowym sygnałem.;{"primary_percent": 57, "secondary_percent": 43};;;When do you feel more like yourself — alone or with others?;Alone | With others;The environment that activates authenticity is a key signal.;Social self preference registered.;Your authentic self has a preferred environment.;The Explorer;Social Mirror;identity
TO99-P011;premium;secret;legendary;91;threshold;5;5;9;Powiedz mi coś, czego się wstydzisz, ale za co teraz rozumiesz dlaczego to zrobiłeś.;open;Napisz lub wybierz: Kłamstwo | Zdrada | Ucieczka | Milczenie;emotion;{"emotion": 7, "security": 2};shame_understanding;Przetwarzanie wstydu zarejestrowane.;none;high;1.0;premium threshold legendary;profile_fragment;very_high;none;hidden;answer_count;Wstyd, który rozumiesz, jest inny niż ten, który nosisz.;{"primary_percent": 41, "secondary_percent": 29};;;Tell me something you are ashamed of but now understand why you did it.;A lie | A betrayal | A retreat | A silence;Shame you understand is different from shame you carry.;Shame processing pattern registered.;You can hold complexity around your own past actions.;The Alchemist;Threshold Card;shadow
TO99-P012;premium;question;rare;58;future;2;4;6;Gdybyś mógł coś wiedzieć o swojej przyszłości, co by to było?;open;Wynik | Uczucie | Relacja | Nic — nie chcę wiedzieć;security;{"security": -3, "curiosity": 4};future_orientation;Orientacja przyszłościowa zarejestrowana.;none;low;0.6;premium future self;profile_fragment;medium;none;hidden;answer_count;To, co chcesz wiedzieć o przyszłości, ujawnia to, czego się boisz.;{"primary_percent": 26, "secondary_percent": 22};;;If you could know one thing about your future, what would it be?;The outcome | The feeling | The relationship | Nothing — I don't want to know;What you want to know about your future reveals what you fear.;Future orientation pattern registered.;Your question about the future reveals your current anxiety.;The Seeker;Future Self;depth
TO99-P013;premium;question;epic;82;shadow;4;4;8;Co robisz, kiedy chcesz, żeby ktoś się oddalił, ale nie chcesz tego powiedzieć wprost?;open;Dystansowanie się | Bycie zajętym | Chłód | Nic nie robię;independence;{"independence": 5, "connection": -3};avoidant_pattern;Wzorzec unikania zarejestrowany.;none;medium;0.8;premium shadow;profile_fragment;high;none;hidden;answer_count;Sposób, w jaki tworzysz dystans, jest sygnałem przywiązania.;{"primary_percent": 33, "secondary_percent": 27};;;What do you do when you want someone to move away but don't want to say it directly?;Pull back | Get busy | Become cold | Nothing — I don't act;How you create distance is an attachment signal.;Avoidant pattern registered.;Your indirect distance strategies reveal your attachment style.;The Mirror;Shadow Question;attachment
TO99-P014;premium;game;rare;43;object;2;3;5;Twój dom spłonie. Możesz uratować jeden niematerialny przedmiot — jakim jest uczucie?;choice;Poczucie bezpieczeństwa | Poczucie tożsamości | Poczucie przynależności | Poczucie celu;security;{"security": 4, "emotion": 2};core_need;Podstawowa potrzeba zidentyfikowana.;none;low;0.5;premium object choice;profile_fragment;medium;none;hidden;answer_count;To, co ratujesz, ujawnia Twoją hierarchię potrzeb.;{"primary_percent": 38, "secondary_percent": 29};;;Your house is burning. You can save one intangible thing — which feeling is it?;Safety | Identity | Belonging | Purpose;What you save reveals your need hierarchy.;Core need identified.;Your rescue choice reveals what you cannot live without.;The Guardian;Object Choice;values
TO99-P015;premium;riddle;epic;77;pattern;4;4;8;Czym jest coś, co masz, dopóki o tym nie myślisz?;choice;Spokój | Pewność siebie | Kontrola | Szczęście;security;{"security": 3, "emotion": -2};metacognitive_signal;Sygnał metapoznawczy zarejestrowany.;none;low;0.7;premium pattern break;profile_fragment;high;none;hidden;answer_count;Pytanie o metaświadomość aktywuje inną warstwę profilu.;{"primary_percent": 31, "secondary_percent": 26};;;What is something you have until you think about it?;Peace | Confidence | Control | Happiness;The question about meta-awareness activates another profile layer.;A metacognitive signal was registered.;Your answer reveals what you hold by not holding.;The Observer;Pattern Break;awareness
TO99-P016;premium;secret;rare;49;shadow;3;4;7;Jakiej wersji siebie żałujesz, że za mało jej słuchałeś?;open;Młodszego siebie | Siebie sprzed kryzysu | Siebie z intuicją | Siebie mniej pewnego;change;{"change": 3, "emotion": 4};regret_signal;Sygnał żalu zarejestrowany.;none;low;0.6;premium shadow;profile_fragment;medium;none;hidden;answer_count;Żal jest formą wyraźnego widzenia wstecznego.;{"primary_percent": 36, "secondary_percent": 28};;;Which version of yourself do you regret not listening to more?;Younger self | Pre-crisis self | The self with intuition | The less certain self;Regret is a form of clear backward vision.;A regret signal was registered.;You can name the version of yourself you abandoned.;The Seeker;Shadow Question;identity
TO99-P017;premium;question;standard;19;social;1;2;3;Czy masz skłonność do zbyt szybkiego przebaczania czy zbyt wolnego?;binary;Zbyt szybko | Zbyt wolno;emotion;{"emotion": 2, "connection": 2};forgiveness_pattern;Wzorzec przebaczania zarejestrowany.;none;low;0.3;premium social mirror;community_reveal;low;none;hidden;answer_count;Tempo przebaczania ujawnia Twoją wartość relacji.;{"primary_percent": 49, "secondary_percent": 51};;;Do you tend to forgive too quickly or too slowly?;Too quickly | Too slowly;The pace of forgiveness reveals how you value relationships.;Forgiveness pattern registered.;Your forgiveness timing is a relational signal.;The Anchor;Social Mirror;attachment
TO99-P018;premium;question;epic;80;memory;4;5;8;Które wspomnienie, gdybyś je usunął, zmieniłoby to, kim jesteś?;open;Utrata | Lekcja | Trauma | Triumf;security;{"security": 4, "emotion": 5};identity_memory;Wspomnienie tożsamości zidentyfikowane.;none;medium;0.9;premium memory trace;profile_fragment;very_high;none;hidden;answer_count;Wspomnienia, które definiują tożsamość, są inaczej zakodowane.;{"primary_percent": 29, "secondary_percent": 21};;;Which memory, if removed, would change who you are?;A loss | A lesson | A trauma | A triumph;Memories that define identity are encoded differently.;An identity memory was identified.;Some memories are structural — removing them removes you.;The Pathfinder;Memory Trace;depth
TO99-P019;premium;question;rare;61;control;3;4;7;Kiedy kłamiesz, co zwykle chronisz?;open;Wizerunek | Kogoś innego | Spokój | Prawdę, która jest za skomplikowana;security;{"security": 3, "independence": 3};lying_motive;Motyw kłamstwa zidentyfikowany.;none;medium;0.7;premium control gate;profile_fragment;high;none;hidden;answer_count;To, co chronisz kłamstwem, ujawnia Twoją hierarchię wartości.;{"primary_percent": 33, "secondary_percent": 27};;;When you lie, what are you usually protecting?;Your image | Someone else | Peace | A truth that is too complex;What you protect through lying reveals your value hierarchy.;Lying motive identified.;Your lies are protection strategies for something you value.;The Guardian;Control Gate;values
TO99-P020;premium;secret;legendary;96;threshold;5;5;10;Opisz swój najciemniejszy moment bez dramatyzowania. Co naprawdę się stało?;open;Wybrałem izolację | Straciłem coś nieodwracalnie | Zachowałem się wbrew swoim wartościom | Przestałem wierzyć w coś ważnego;emotion;{"emotion": 8, "security": 3};dark_moment;Ciemny moment zarejestrowany.;none;high;1.0;premium threshold legendary;profile_fragment;very_high;none;hidden;answer_count;Zdolność do nazwania ciemnego momentu bez dramatyzacji jest rzadką cechą.;{"primary_percent": 38, "secondary_percent": 27};;;Describe your darkest moment without dramatizing it. What actually happened?;I chose isolation | I lost something irreversibly | I acted against my values | I stopped believing in something important;The ability to name a dark moment without drama is rare.;A dark moment signal was registered.;You can hold the weight of your hardest moment with clarity.;The Alchemist;Threshold Card;shadow
TO99-P021;premium;question;standard;25;social;1;2;4;Kiedy ktoś chwali Twoją pracę, jaka jest Twoja pierwsza myśl?;open;Dziękuję, to miłe | Czy to szczere? | Co chcą w zamian? | Zasłużyłem na to;security;{"security": -2, "emotion": 2};praise_reception;Wzorzec przyjmowania pochwał zarejestrowany.;none;low;0.4;premium social mirror;community_reveal;low;none;hidden;answer_count;Odpowiedź na pochwałę ujawnia zaufanie do zewnętrznych sygnałów.;{"primary_percent": 42, "secondary_percent": 31};;;When someone praises your work, what is your first thought?;Thank you, that's kind | Is it genuine? | What do they want in return? | I deserved that;Your response to praise reveals trust in external signals.;Praise reception pattern registered.;Your first response to recognition is a trust signal.;The Mirror;Social Mirror;identity
TO99-P022;premium;question;rare;44;future;2;3;6;Gdybyś wiedział, że nie możesz zawieść, czego byś się odważył?;open;Relacja | Projekt | Zmiana | Ujawnienie siebie;risk;{"risk": 5, "security": -3};risk_without_failure;Wzorzec ryzyka bez porażki zarejestrowany.;none;low;0.5;premium future self;profile_fragment;medium;none;hidden;answer_count;To, czego chcesz, gdy lęk przed porażką znika, jest Twoim prawdziwym celem.;{"primary_percent": 35, "secondary_percent": 28};;;If you knew you could not fail, what would you dare to do?;A relationship | A project | A change | Reveal yourself;What you want when the fear of failure disappears is your real goal.;A risk-without-failure pattern was registered.;What you would do without fear reveals what you actually want.;The Catalyst;Future Self;ambition
TO99-P023;premium;game;epic;73;object;3;4;7;Wybierz słowo, które opisuje to, czego szukasz w relacjach.;choice;Bezpieczeństwo | Stymulacja | Lojalność | Wolność;connection;{"connection": 4, "independence": -2};relational_need;Potrzeba relacyjna zidentyfikowana.;none;medium;0.7;premium object choice;profile_fragment;high;none;hidden;answer_count;Najważniejsza potrzeba relacyjna kształtuje każdy Twój wybór partnera.;{"primary_percent": 36, "secondary_percent": 28};;;Choose the word that describes what you seek in relationships.;Safety | Stimulation | Loyalty | Freedom;Your primary relational need shapes every partner choice.;Relational need identified.;What you need most from others is shaping your connections.;The Anchor;Object Choice;attachment
TO99-P024;premium;riddle;rare;53;pattern;3;3;6;Co jest tam, gdy wychodzisz, ale znika, gdy wchodzisz?;choice;Niepokój | Maska | Presja | Poczucie obowiązku;security;{"security": 3, "emotion": -2};context_sensitivity;Wrażliwość kontekstowa zarejestrowana.;none;low;0.6;premium pattern break;profile_fragment;medium;none;hidden;answer_count;To, co tracisz wchodząc do przestrzeni, jest sygnałem środowiskowym.;{"primary_percent": 37, "secondary_percent": 29};;;What is there when you leave but disappears when you enter?;Anxiety | A mask | Pressure | A sense of duty;What you lose when entering a space is an environmental signal.;Context sensitivity registered.;Your behavioral pattern shifts with environmental context.;The Observer;Pattern Break;awareness
TO99-P025;premium;secret;epic;79;shadow;4;5;8;Co inni widzą w Tobie, czego Ty nie chcesz widzieć?;open;Strach | Potrzebę | Słabość | Gniew;emotion;{"emotion": 5, "security": -3};blind_spot;Martwy punkt zarejestrowany.;none;medium;0.8;premium shadow;profile_fragment;high;none;hidden;answer_count;Martwe punkty są wzorcem. Ten, który wybrałeś, jest znaczący.;{"primary_percent": 31, "secondary_percent": 24};;;What do others see in you that you don't want to see?;Fear | Need | Weakness | Anger;Blind spots are patterns. The one you named is significant.;A blind spot was registered.;What others see and you avoid reveals an important gap.;The Mirror;Shadow Question;shadow
TO99-P026;premium;question;standard;21;control;1;2;3;Czy wolisz wiedzieć z wyprzedzeniem czy odkrywać na bieżąco?;binary;Wiedzieć z wyprzedzeniem | Odkrywać na bieżąco;control;{"control": 3, "curiosity": -1};planning_preference;Preferencja planowania zarejestrowana.;none;low;0.3;premium control gate;community_reveal;low;none;hidden;answer_count;Sposób, w jaki zarządzasz informacją o przyszłości, ujawnia Twój wzorzec kontroli.;{"primary_percent": 63, "secondary_percent": 37};;;Do you prefer knowing in advance or discovering as you go?;Know in advance | Discover as I go;How you manage future information reveals your control pattern.;Planning preference registered.;Your information management style is a control signal.;The Architect;Control Gate;structure
TO99-P027;premium;question;epic;76;memory;4;4;8;Kto był osobą, która zobaczyła Cię wyraźnie, zanim sam siebie zobaczyłeś?;open;Rodzic | Przyjaciel | Nieznajomy | Nikt — sam się zobaczyłem;connection;{"connection": 5, "emotion": 4};witnessed_moment;Moment bycia widzianym zarejestrowany.;none;medium;0.8;premium memory trace;profile_fragment;high;none;hidden;answer_count;Wzorzec bycia widzianym kształtuje to, czego szukasz w relacjach.;{"primary_percent": 27, "secondary_percent": 22};;;Who was the person who saw you clearly before you saw yourself?;A parent | A friend | A stranger | No one — I saw myself first;The pattern of being seen shapes what you seek in relationships.;A witnessed-self moment was registered.;Being seen by someone else is a formative relational event.;The Anchor;Memory Trace;attachment
TO99-P028;premium;riddle;legendary;93;pattern;5;4;9;Czym jest coś, co dajesz, tracąc, i odbierasz, zatrzymując?;choice;Zaufanie | Uwaga | Kontrola | Troska;connection;{"connection": 4, "independence": -3};giving_paradox;Paradoks dawania zarejestrowany.;none;medium;0.8;premium pattern break;profile_fragment;high;none;hidden;answer_count;Paradoks dawania ujawnia wzorzec relacyjny.;{"primary_percent": 33, "secondary_percent": 26};;;What is something you give by losing, and take back by keeping?;Trust | Attention | Control | Care;The paradox of giving reveals your relational pattern.;A giving paradox pattern was registered.;Your relational economics are a key behavioral signal.;The Anchor;Pattern Break;attachment
TO99-P029;premium;secret;rare;47;shadow;3;4;6;Jakiego uczucia aktywnie unikasz?;open;Zależności | Nudy | Winy | Bezsilności;security;{"security": 4, "emotion": -3};avoidance_emotion;Unikana emocja zidentyfikowana.;none;low;0.6;premium shadow;profile_fragment;medium;none;hidden;answer_count;Emocja, której unikamy, kształtuje nasze zachowanie bardziej niż ta, którą odczuwamy.;{"primary_percent": 38, "secondary_percent": 29};;;What feeling do you actively avoid?;Dependency | Boredom | Guilt | Powerlessness;The emotion we avoid shapes our behavior more than what we feel.;An avoided emotion was identified.;Avoidance of a specific feeling is a pattern driver.;The Observer;Shadow Question;shadow
TO99-P030;premium;question;rare;50;control;2;3;6;Jak długo możesz nie podejmować decyzji, zanim poczujesz niepokój?;choice;Minuty | Godziny | Dni | Tygodnie;security;{"security": -2, "control": 4};decision_urgency;Pilność decyzyjna zarejestrowana.;none;low;0.5;premium control gate;profile_fragment;medium;none;hidden;answer_count;Czas tolerancji nierozwiązanych decyzji jest kluczowym sygnałem kontroli.;{"primary_percent": 43, "secondary_percent": 31};;;How long can you sit with an undecided choice before you feel anxious?;Minutes | Hours | Days | Weeks;Tolerance time for unresolved decisions is a key control signal.;Decision urgency pattern registered.;Your decision timeline reveals your relationship with uncertainty.;The Architect;Control Gate;structure
TO99-P031;premium;question;epic;85;threshold;4;5;9;Gdybyś mógł być całkowicie uczciwy z jedną osobą przez godzinę bez konsekwencji, kogo byś wybrał i co byś powiedział?;open;Kogoś bliskiego | Kogoś, kto mnie skrzywdził | Siebie samego | Nikogo — i tak nie powiedziałbym;emotion;{"emotion": 7, "independence": 4};radical_honesty;Gotowość do radykalnej szczerości zarejestrowana.;none;high;0.9;premium threshold;profile_fragment;very_high;none;hidden;answer_count;Komu dajesz swoją szczerość ujawnia Twoją hierarchię relacyjną.;{"primary_percent": 28, "secondary_percent": 21};;;If you could be completely honest with one person for one hour with no consequences, who and what would you say?;Someone close | Someone who hurt me | Myself | No one — I still wouldn't say it;To whom you give your honesty reveals your relational hierarchy.;Radical honesty readiness registered.;The person you chose for honesty is significant data.;The Rebel;Threshold Card;identity
TO99-P032;premium;question;standard;17;social;1;2;3;Czy wyżej cenisz lojalność czy szczerość?;binary;Lojalność | Szczerość;security;{"security": 2, "emotion": 2};loyalty_truth;Hierarchia lojalności i prawdy zarejestrowana.;none;low;0.3;premium social mirror;community_reveal;low;none;hidden;answer_count;Kiedy lojalność i szczerość są w konflikcie, Twój wybór jest wzorcem.;{"primary_percent": 58, "secondary_percent": 42};;;Do you value loyalty or honesty more?;Loyalty | Honesty;When loyalty and honesty conflict, your choice is a pattern.;Loyalty vs. truth hierarchy registered.;What you protect over what you reveal is a relational signal.;The Guardian;Social Mirror;values
TO99-P033;premium;secret;epic;83;shadow;4;5;8;Co robisz, kiedy czujesz, że kogoś rozczarowujesz?;open;Kompensuję nadmiernie | Dystansuję się | Tłumaczę | Nic — po prostu żyję z tym;emotion;{"emotion": 5, "security": -3};disappointment_response;Odpowiedź na rozczarowanie zarejestrowana.;none;medium;0.8;premium shadow;profile_fragment;high;none;hidden;answer_count;Wzorzec reagowania na rozczarowanie innych ujawnia Twój stosunek do aprobaty.;{"primary_percent": 36, "secondary_percent": 27};;;What do you do when you feel like you are disappointing someone?;Overcompensate | Pull away | Explain myself | Nothing — I just live with it;How you respond to disappointing others reveals your approval pattern.;Disappointment response registered.;Your response to disappointing others is an approval signal.;The Anchor;Shadow Question;approval
